Simulation,Transitions
55,"{'U_and_M_to_U_and_U': 14, 'Polymerase_M_to_A': 62, 'M_and_U_to_M_and_M': 26, 'A_and_M_to_A_and_A': 27, 'A_and_U_to_A_and_A': 23, 'M_and_A_to_M_and_M': 66, 'U_and_A_to_U_and_U': 24}"
56,"{'M_and_U_to_M_and_M': 17, 'U_and_M_to_U_and_U': 14, 'Polymerase_M_to_A': 47, 'A_and_M_to_A_and_A': 22, 'U_and_A_to_U_and_U': 8, 'A_and_U_to_A_and_A': 20, 'M_and_A_to_M_and_M': 67}"
57,"{'U_and_M_to_U_and_U': 27, 'M_and_U_to_M_and_M': 37, 'Polymerase_M_to_A': 31, 'A_and_M_to_A_and_A': 22, 'U_and_A_to_U_and_U': 18, 'A_and_U_to_A_and_A': 22, 'M_and_A_to_M_and_M': 40}"
58,"{'M_and_U_to_M_and_M': 34, 'Polymerase_M_to_A': 38, 'U_and_M_to_U_and_U': 24, 'M_and_A_to_M_and_M': 43, 'A_and_U_to_A_and_A': 25, 'A_and_M_to_A_and_A': 25, 'U_and_A_to_U_and_U': 22}"
59,"{'M_and_U_to_M_and_M': 16, 'Polymerase_M_to_A': 52, 'U_and_M_to_U_and_U': 8, 'A_and_M_to_A_and_A': 34, 'M_and_A_to_M_and_M': 68, 'U_and_A_to_U_and_U': 8, 'A_and_U_to_A_and_A': 15}"
60,"{'M_and_U_to_M_and_M': 26, 'U_and_M_to_U_and_U': 19, 'Polymerase_M_to_A': 49, 'A_and_M_to_A_and_A': 19, 'U_and_A_to_U_and_U': 13, 'M_and_A_to_M_and_M': 57, 'A_and_U_to_A_and_A': 20}"
61,"{'M_and_U_to_M_and_M': 32, 'U_and_M_to_U_and_U': 13, 'Polymerase_M_to_A': 63, 'A_and_M_to_A_and_A': 26, 'M_and_A_to_M_and_M': 67, 'A_and_U_to_A_and_A': 15, 'U_and_A_to_U_and_U': 20}"
62,"{'M_and_U_to_M_and_M': 44, 'Polymerase_M_to_A': 42, 'U_and_M_to_U_and_U': 33, 'U_and_A_to_U_and_U': 42, 'M_and_A_to_M_and_M': 31, 'A_and_M_to_A_and_A': 14, 'A_and_U_to_A_and_A': 29}"
63,"{'M_and_U_to_M_and_M': 35, 'U_and_M_to_U_and_U': 15, 'Polymerase_M_to_A': 44, 'M_and_A_to_M_and_M': 42, 'A_and_U_to_A_and_A': 24, 'A_and_M_to_A_and_A': 26, 'U_and_A_to_U_and_U': 38}"
64,"{'U_and_M_to_U_and_U': 20, 'M_and_U_to_M_and_M': 9, 'Polymerase_M_to_A': 17, 'A_and_M_to_A_and_A': 10, 'A_and_U_to_A_and_A': 34, 'M_and_A_to_M_and_M': 4, 'U_and_A_to_U_and_U': 55}"
