Time Steps,Polymerase Count,Active Histone Count,Acetylated Histone Count,Methylated Histone Count,Unmodified Histone Count,Noisy Changes Count,Enzyme Changes Count
24601,0,44,41,3,16,0,0
24701,0,45,43,2,15,0,0
24801,0,48,46,2,12,0,0
24901,0,48,45,3,12,0,0
25001,0,43,38,5,17,0,1
25101,0,45,42,3,15,0,0
25201,0,49,46,3,11,0,0
25301,0,45,44,1,15,0,0
25401,0,49,47,2,11,0,0
25501,0,48,48,0,12,0,0
25601,0,47,47,0,13,0,0
25701,0,47,47,0,13,0,0
25801,0,50,50,0,10,0,0
25901,0,50,49,1,10,0,0
26001,0,48,48,0,12,0,0
26101,0,49,49,0,11,0,0
26201,0,47,46,1,13,0,0
26301,0,49,49,0,11,0,0
26401,0,48,47,1,12,0,0
26501,0,50,49,1,10,0,0
26601,0,51,51,0,9,0,0
26701,0,52,52,0,8,0,0
26801,0,54,52,2,6,0,0
26901,0,55,53,2,5,0,0
27001,0,51,50,1,9,0,0
27101,0,52,51,1,8,0,0
27201,0,53,52,1,7,1,0
27301,0,56,55,1,4,0,0
27401,0,55,54,1,5,0,0
27501,0,53,52,1,7,0,0
27601,0,50,50,0,10,0,0
27701,0,54,54,0,6,0,0
27801,0,52,52,0,8,0,0
27901,0,52,51,1,8,0,0
28001,0,52,51,1,8,0,0
28101,0,53,51,2,7,0,0
28201,0,52,50,2,8,0,0
28301,0,53,50,3,7,0,0
28401,0,51,49,2,9,0,0
28501,0,47,47,0,13,1,0
28601,0,48,48,0,12,0,0
28701,0,44,44,0,16,0,0
28801,0,47,47,0,13,0,0
28901,0,50,50,0,10,0,0
29001,0,49,49,0,11,0,0
29101,0,50,50,0,10,0,0
29201,0,49,48,1,11,0,0
29301,0,46,45,1,14,0,0
29401,0,48,47,1,12,0,0
29501,0,49,48,1,11,0,0
29601,0,51,50,1,9,0,0
29701,0,47,46,1,13,0,1
29801,0,50,49,1,10,0,0
29901,0,48,47,1,12,0,0
30001,0,48,47,1,12,0,0
30101,0,48,47,1,12,0,0
30201,0,47,44,3,13,0,0
30301,0,44,41,3,16,0,0
30401,0,45,40,5,15,0,0
30501,0,44,37,7,16,0,0
30601,0,42,35,7,18,0,0
30701,0,36,28,8,24,0,1
30801,0,36,31,5,24,0,0
30901,0,31,25,6,29,0,0
31001,0,33,27,6,27,0,0
31101,0,36,30,6,24,0,0
31201,0,42,32,10,18,0,0
31301,0,42,32,10,18,0,0
31401,0,42,34,8,18,0,1
31501,0,41,34,7,19,0,0
31601,0,40,35,5,20,0,0
31701,0,41,37,4,19,0,0
31801,0,42,37,5,18,0,0
31901,0,42,37,5,18,0,0
32001,0,46,39,7,14,0,0
32101,0,47,39,8,13,0,1
32201,0,48,37,11,12,0,0
32301,0,41,31,10,19,0,0
32401,0,39,33,6,21,0,1
32501,0,40,30,10,20,0,0
32601,0,43,35,8,17,0,0
32701,0,41,32,9,19,0,0
32801,0,43,36,7,17,0,0
32901,0,43,37,6,17,0,0
33001,0,38,31,7,22,0,0
33101,0,40,32,8,20,0,0
33201,0,44,40,4,16,0,0
