Simulation,Transitions
251,"{'M_and_U_to_M_and_M': 32, 'Polymerase_M_to_A': 45, 'U_and_M_to_U_and_U': 21, 'M_and_A_to_M_and_M': 30, 'A_and_M_to_A_and_A': 17, 'A_and_U_to_A_and_A': 33, 'U_and_A_to_U_and_U': 50}"
252,"{'M_and_U_to_M_and_M': 34, 'U_and_M_to_U_and_U': 19, 'Polymerase_M_to_A': 49, 'A_and_M_to_A_and_A': 21, 'M_and_A_to_M_and_M': 51, 'U_and_A_to_U_and_U': 25, 'A_and_U_to_A_and_A': 21}"
253,"{'U_and_M_to_U_and_U': 51, 'M_and_U_to_M_and_M': 46, 'Polymerase_M_to_A': 42, 'M_and_A_to_M_and_M': 40, 'A_and_M_to_A_and_A': 14, 'U_and_A_to_U_and_U': 20, 'A_and_U_to_A_and_A': 22}"
254,"{'U_and_M_to_U_and_U': 48, 'M_and_U_to_M_and_M': 24, 'Polymerase_M_to_A': 19, 'A_and_U_to_A_and_A': 45, 'A_and_M_to_A_and_A': 1, 'M_and_A_to_M_and_M': 10, 'U_and_A_to_U_and_U': 46}"
255,"{'U_and_M_to_U_and_U': 28, 'Polymerase_M_to_A': 23, 'M_and_U_to_M_and_M': 17, 'M_and_A_to_M_and_M': 9, 'A_and_M_to_A_and_A': 9, 'U_and_A_to_U_and_U': 43, 'A_and_U_to_A_and_A': 31}"
256,"{'U_and_M_to_U_and_U': 41, 'M_and_U_to_M_and_M': 45, 'Polymerase_M_to_A': 35, 'M_and_A_to_M_and_M': 26, 'U_and_A_to_U_and_U': 37, 'A_and_M_to_A_and_A': 14, 'A_and_U_to_A_and_A': 27}"
257,"{'M_and_U_to_M_and_M': 28, 'Polymerase_M_to_A': 56, 'U_and_M_to_U_and_U': 18, 'A_and_M_to_A_and_A': 29, 'A_and_U_to_A_and_A': 28, 'U_and_A_to_U_and_U': 25, 'M_and_A_to_M_and_M': 64}"
258,"{'M_and_U_to_M_and_M': 38, 'U_and_M_to_U_and_U': 29, 'Polymerase_M_to_A': 45, 'M_and_A_to_M_and_M': 42, 'A_and_M_to_A_and_A': 17, 'U_and_A_to_U_and_U': 27, 'A_and_U_to_A_and_A': 26}"
259,"{'M_and_U_to_M_and_M': 32, 'Polymerase_M_to_A': 23, 'U_and_M_to_U_and_U': 49, 'A_and_M_to_A_and_A': 8, 'M_and_A_to_M_and_M': 14, 'U_and_A_to_U_and_U': 39, 'A_and_U_to_A_and_A': 22}"
260,"{'M_and_U_to_M_and_M': 27, 'U_and_M_to_U_and_U': 22, 'Polymerase_M_to_A': 38, 'A_and_M_to_A_and_A': 23, 'A_and_U_to_A_and_A': 34, 'M_and_A_to_M_and_M': 49, 'U_and_A_to_U_and_U': 24}"
261,"{'U_and_M_to_U_and_U': 41, 'M_and_U_to_M_and_M': 42, 'Polymerase_M_to_A': 51, 'A_and_M_to_A_and_A': 22, 'M_and_A_to_M_and_M': 56, 'A_and_U_to_A_and_A': 22, 'U_and_A_to_U_and_U': 29}"
262,"{'U_and_M_to_U_and_U': 43, 'M_and_U_to_M_and_M': 43, 'Polymerase_M_to_A': 32, 'M_and_A_to_M_and_M': 14, 'U_and_A_to_U_and_U': 48, 'A_and_M_to_A_and_A': 9, 'A_and_U_to_A_and_A': 34}"
263,"{'U_and_M_to_U_and_U': 32, 'M_and_U_to_M_and_M': 41, 'Polymerase_M_to_A': 30, 'A_and_M_to_A_and_A': 21, 'M_and_A_to_M_and_M': 23, 'A_and_U_to_A_and_A': 26, 'U_and_A_to_U_and_U': 43}"
264,"{'M_and_U_to_M_and_M': 22, 'U_and_M_to_U_and_U': 12, 'Polymerase_M_to_A': 53, 'A_and_M_to_A_and_A': 35, 'M_and_A_to_M_and_M': 74, 'A_and_U_to_A_and_A': 6, 'U_and_A_to_U_and_U': 2}"
265,"{'Polymerase_M_to_A': 43, 'U_and_A_to_U_and_U': 49, 'U_and_M_to_U_and_U': 43, 'M_and_U_to_M_and_M': 58, 'A_and_M_to_A_and_A': 23, 'A_and_U_to_A_and_A': 28, 'M_and_A_to_M_and_M': 33}"
266,"{'M_and_U_to_M_and_M': 23, 'U_and_M_to_U_and_U': 22, 'Polymerase_M_to_A': 18, 'U_and_A_to_U_and_U': 53, 'M_and_A_to_M_and_M': 3, 'A_and_M_to_A_and_A': 20, 'A_and_U_to_A_and_A': 19}"
267,"{'U_and_M_to_U_and_U': 44, 'Polymerase_M_to_A': 26, 'M_and_U_to_M_and_M': 29, 'A_and_U_to_A_and_A': 40, 'U_and_A_to_U_and_U': 51, 'A_and_M_to_A_and_A': 19, 'M_and_A_to_M_and_M': 25}"
268,"{'U_and_M_to_U_and_U': 24, 'M_and_U_to_M_and_M': 33, 'Polymerase_M_to_A': 35, 'U_and_A_to_U_and_U': 29, 'A_and_M_to_A_and_A': 15, 'A_and_U_to_A_and_A': 33, 'M_and_A_to_M_and_M': 35}"
269,"{'M_and_U_to_M_and_M': 42, 'U_and_M_to_U_and_U': 24, 'Polymerase_M_to_A': 50, 'M_and_A_to_M_and_M': 47, 'U_and_A_to_U_and_U': 26, 'A_and_U_to_A_and_A': 19, 'A_and_M_to_A_and_A': 19}"
270,"{'U_and_M_to_U_and_U': 36, 'M_and_U_to_M_and_M': 30, 'Polymerase_M_to_A': 21, 'A_and_U_to_A_and_A': 32, 'A_and_M_to_A_and_A': 8, 'U_and_A_to_U_and_U': 47, 'M_and_A_to_M_and_M': 6}"
271,"{'M_and_U_to_M_and_M': 21, 'Polymerase_M_to_A': 55, 'U_and_M_to_U_and_U': 21, 'A_and_M_to_A_and_A': 21, 'A_and_U_to_A_and_A': 27, 'U_and_A_to_U_and_U': 13, 'M_and_A_to_M_and_M': 71}"
272,"{'U_and_M_to_U_and_U': 22, 'M_and_U_to_M_and_M': 34, 'Polymerase_M_to_A': 45, 'A_and_M_to_A_and_A': 27, 'U_and_A_to_U_and_U': 21, 'A_and_U_to_A_and_A': 24, 'M_and_A_to_M_and_M': 53}"
273,"{'Polymerase_M_to_A': 36, 'M_and_U_to_M_and_M': 25, 'U_and_M_to_U_and_U': 18, 'A_and_M_to_A_and_A': 33, 'A_and_U_to_A_and_A': 23, 'M_and_A_to_M_and_M': 56, 'U_and_A_to_U_and_U': 20}"
274,"{'Polymerase_M_to_A': 50, 'M_and_U_to_M_and_M': 15, 'U_and_M_to_U_and_U': 4, 'A_and_M_to_A_and_A': 38, 'A_and_U_to_A_and_A': 9, 'U_and_A_to_U_and_U': 5, 'M_and_A_to_M_and_M': 71}"
275,"{'M_and_U_to_M_and_M': 25, 'U_and_M_to_U_and_U': 15, 'Polymerase_M_to_A': 38, 'A_and_M_to_A_and_A': 26, 'U_and_A_to_U_and_U': 24, 'A_and_U_to_A_and_A': 28, 'M_and_A_to_M_and_M': 43}"
276,"{'M_and_U_to_M_and_M': 29, 'U_and_M_to_U_and_U': 21, 'Polymerase_M_to_A': 46, 'U_and_A_to_U_and_U': 21, 'M_and_A_to_M_and_M': 46, 'A_and_U_to_A_and_A': 27, 'A_and_M_to_A_and_A': 22}"
277,"{'M_and_U_to_M_and_M': 28, 'U_and_M_to_U_and_U': 12, 'Polymerase_M_to_A': 45, 'A_and_U_to_A_and_A': 18, 'A_and_M_to_A_and_A': 19, 'U_and_A_to_U_and_U': 25, 'M_and_A_to_M_and_M': 46}"
278,"{'U_and_M_to_U_and_U': 40, 'Polymerase_M_to_A': 40, 'M_and_U_to_M_and_M': 37, 'A_and_M_to_A_and_A': 17, 'U_and_A_to_U_and_U': 32, 'A_and_U_to_A_and_A': 36, 'M_and_A_to_M_and_M': 51}"
279,"{'U_and_M_to_U_and_U': 29, 'Polymerase_M_to_A': 43, 'M_and_U_to_M_and_M': 46, 'A_and_U_to_A_and_A': 33, 'A_and_M_to_A_and_A': 16, 'U_and_A_to_U_and_U': 52, 'M_and_A_to_M_and_M': 34}"
280,"{'U_and_M_to_U_and_U': 35, 'M_and_U_to_M_and_M': 45, 'Polymerase_M_to_A': 32, 'A_and_M_to_A_and_A': 9, 'U_and_A_to_U_and_U': 43, 'M_and_A_to_M_and_M': 12, 'A_and_U_to_A_and_A': 22}"
281,"{'U_and_M_to_U_and_U': 35, 'Polymerase_M_to_A': 50, 'M_and_U_to_M_and_M': 41, 'M_and_A_to_M_and_M': 40, 'A_and_U_to_A_and_A': 40, 'A_and_M_to_A_and_A': 8, 'U_and_A_to_U_and_U': 35}"
282,"{'M_and_U_to_M_and_M': 45, 'U_and_M_to_U_and_U': 32, 'Polymerase_M_to_A': 50, 'A_and_M_to_A_and_A': 15, 'U_and_A_to_U_and_U': 33, 'A_and_U_to_A_and_A': 23, 'M_and_A_to_M_and_M': 41}"
283,"{'M_and_U_to_M_and_M': 28, 'U_and_M_to_U_and_U': 18, 'Polymerase_M_to_A': 37, 'M_and_A_to_M_and_M': 55, 'U_and_A_to_U_and_U': 11, 'A_and_M_to_A_and_A': 26, 'A_and_U_to_A_and_A': 16}"
284,"{'M_and_U_to_M_and_M': 26, 'Polymerase_M_to_A': 42, 'U_and_M_to_U_and_U': 34, 'M_and_A_to_M_and_M': 52, 'A_and_M_to_A_and_A': 19, 'A_and_U_to_A_and_A': 22, 'U_and_A_to_U_and_U': 16}"
285,"{'M_and_U_to_M_and_M': 32, 'U_and_M_to_U_and_U': 23, 'Polymerase_M_to_A': 52, 'A_and_M_to_A_and_A': 36, 'A_and_U_to_A_and_A': 12, 'M_and_A_to_M_and_M': 54, 'U_and_A_to_U_and_U': 14}"
286,"{'U_and_M_to_U_and_U': 14, 'M_and_U_to_M_and_M': 20, 'Polymerase_M_to_A': 33, 'A_and_M_to_A_and_A': 23, 'U_and_A_to_U_and_U': 5, 'A_and_U_to_A_and_A': 13, 'M_and_A_to_M_and_M': 29}"
287,"{'U_and_M_to_U_and_U': 35, 'M_and_U_to_M_and_M': 34, 'Polymerase_M_to_A': 32, 'M_and_A_to_M_and_M': 12, 'A_and_U_to_A_and_A': 16, 'A_and_M_to_A_and_A': 8, 'U_and_A_to_U_and_U': 43}"
288,"{'M_and_U_to_M_and_M': 29, 'Polymerase_M_to_A': 43, 'U_and_M_to_U_and_U': 15, 'M_and_A_to_M_and_M': 46, 'A_and_M_to_A_and_A': 22, 'A_and_U_to_A_and_A': 9, 'U_and_A_to_U_and_U': 9}"
289,"{'M_and_U_to_M_and_M': 27, 'U_and_M_to_U_and_U': 15, 'Polymerase_M_to_A': 47, 'U_and_A_to_U_and_U': 32, 'A_and_U_to_A_and_A': 33, 'A_and_M_to_A_and_A': 23, 'M_and_A_to_M_and_M': 47}"
290,"{'M_and_U_to_M_and_M': 32, 'U_and_M_to_U_and_U': 34, 'Polymerase_M_to_A': 21, 'U_and_A_to_U_and_U': 56, 'A_and_M_to_A_and_A': 16, 'A_and_U_to_A_and_A': 33, 'M_and_A_to_M_and_M': 11}"
291,"{'U_and_M_to_U_and_U': 22, 'M_and_U_to_M_and_M': 48, 'Polymerase_M_to_A': 48, 'A_and_M_to_A_and_A': 17, 'A_and_U_to_A_and_A': 34, 'U_and_A_to_U_and_U': 52, 'M_and_A_to_M_and_M': 32}"
292,"{'U_and_M_to_U_and_U': 37, 'M_and_U_to_M_and_M': 29, 'Polymerase_M_to_A': 23, 'U_and_A_to_U_and_U': 47, 'M_and_A_to_M_and_M': 7, 'A_and_U_to_A_and_A': 24, 'A_and_M_to_A_and_A': 9}"
293,"{'M_and_U_to_M_and_M': 23, 'U_and_M_to_U_and_U': 8, 'Polymerase_M_to_A': 58, 'U_and_A_to_U_and_U': 13, 'A_and_M_to_A_and_A': 34, 'A_and_U_to_A_and_A': 13, 'M_and_A_to_M_and_M': 54}"
294,"{'U_and_M_to_U_and_U': 21, 'M_and_U_to_M_and_M': 33, 'Polymerase_M_to_A': 33, 'A_and_U_to_A_and_A': 39, 'A_and_M_to_A_and_A': 22, 'M_and_A_to_M_and_M': 29, 'U_and_A_to_U_and_U': 37}"
295,"{'Polymerase_M_to_A': 43, 'U_and_M_to_U_and_U': 30, 'M_and_U_to_M_and_M': 41, 'A_and_M_to_A_and_A': 21, 'U_and_A_to_U_and_U': 30, 'M_and_A_to_M_and_M': 39, 'A_and_U_to_A_and_A': 25}"
296,"{'M_and_U_to_M_and_M': 29, 'U_and_M_to_U_and_U': 13, 'Polymerase_M_to_A': 55, 'A_and_U_to_A_and_A': 25, 'M_and_A_to_M_and_M': 57, 'U_and_A_to_U_and_U': 26, 'A_and_M_to_A_and_A': 25}"
297,"{'M_and_U_to_M_and_M': 24, 'U_and_M_to_U_and_U': 13, 'Polymerase_M_to_A': 45, 'M_and_A_to_M_and_M': 53, 'A_and_M_to_A_and_A': 31, 'A_and_U_to_A_and_A': 18, 'U_and_A_to_U_and_U': 16}"
298,"{'U_and_M_to_U_and_U': 40, 'Polymerase_M_to_A': 17, 'M_and_U_to_M_and_M': 31, 'A_and_U_to_A_and_A': 20, 'U_and_A_to_U_and_U': 34, 'A_and_M_to_A_and_A': 5, 'M_and_A_to_M_and_M': 4}"
299,"{'U_and_M_to_U_and_U': 34, 'Polymerase_M_to_A': 24, 'M_and_U_to_M_and_M': 22, 'A_and_U_to_A_and_A': 43, 'A_and_M_to_A_and_A': 10, 'M_and_A_to_M_and_M': 12, 'U_and_A_to_U_and_U': 53}"
300,"{'M_and_U_to_M_and_M': 33, 'U_and_M_to_U_and_U': 25, 'Polymerase_M_to_A': 43, 'U_and_A_to_U_and_U': 12, 'A_and_M_to_A_and_A': 27, 'A_and_U_to_A_and_A': 19, 'M_and_A_to_M_and_M': 56}"
301,"{'U_and_M_to_U_and_U': 37, 'M_and_U_to_M_and_M': 34, 'Polymerase_M_to_A': 29, 'A_and_U_to_A_and_A': 46, 'A_and_M_to_A_and_A': 10, 'U_and_A_to_U_and_U': 56, 'M_and_A_to_M_and_M': 17}"
302,"{'U_and_M_to_U_and_U': 39, 'M_and_U_to_M_and_M': 36, 'Polymerase_M_to_A': 42, 'A_and_M_to_A_and_A': 23, 'A_and_U_to_A_and_A': 21, 'U_and_A_to_U_and_U': 25, 'M_and_A_to_M_and_M': 52}"
303,"{'U_and_M_to_U_and_U': 50, 'M_and_U_to_M_and_M': 43, 'Polymerase_M_to_A': 28, 'A_and_M_to_A_and_A': 10, 'U_and_A_to_U_and_U': 47, 'A_and_U_to_A_and_A': 27, 'M_and_A_to_M_and_M': 14}"
304,"{'U_and_M_to_U_and_U': 32, 'M_and_U_to_M_and_M': 23, 'Polymerase_M_to_A': 22, 'A_and_M_to_A_and_A': 11, 'A_and_U_to_A_and_A': 38, 'M_and_A_to_M_and_M': 8, 'U_and_A_to_U_and_U': 54}"
305,"{'M_and_U_to_M_and_M': 64, 'U_and_M_to_U_and_U': 50, 'Polymerase_M_to_A': 36, 'A_and_M_to_A_and_A': 5, 'U_and_A_to_U_and_U': 32, 'M_and_A_to_M_and_M': 10, 'A_and_U_to_A_and_A': 12}"
306,"{'M_and_U_to_M_and_M': 15, 'U_and_M_to_U_and_U': 27, 'Polymerase_M_to_A': 20, 'M_and_A_to_M_and_M': 10, 'A_and_M_to_A_and_A': 12, 'A_and_U_to_A_and_A': 44, 'U_and_A_to_U_and_U': 59}"
307,"{'U_and_M_to_U_and_U': 51, 'M_and_U_to_M_and_M': 46, 'Polymerase_M_to_A': 26, 'U_and_A_to_U_and_U': 45, 'A_and_U_to_A_and_A': 24, 'A_and_M_to_A_and_A': 4, 'M_and_A_to_M_and_M': 6}"
308,"{'M_and_U_to_M_and_M': 37, 'U_and_M_to_U_and_U': 37, 'Polymerase_M_to_A': 35, 'A_and_M_to_A_and_A': 15, 'M_and_A_to_M_and_M': 38, 'A_and_U_to_A_and_A': 35, 'U_and_A_to_U_and_U': 27}"
309,"{'M_and_U_to_M_and_M': 46, 'U_and_M_to_U_and_U': 35, 'Polymerase_M_to_A': 56, 'A_and_U_to_A_and_A': 27, 'A_and_M_to_A_and_A': 14, 'U_and_A_to_U_and_U': 26, 'M_and_A_to_M_and_M': 46}"
310,"{'M_and_U_to_M_and_M': 35, 'U_and_M_to_U_and_U': 40, 'Polymerase_M_to_A': 23, 'A_and_M_to_A_and_A': 7, 'A_and_U_to_A_and_A': 42, 'M_and_A_to_M_and_M': 9, 'U_and_A_to_U_and_U': 45}"
311,"{'M_and_U_to_M_and_M': 13, 'Polymerase_M_to_A': 51, 'U_and_M_to_U_and_U': 7, 'A_and_M_to_A_and_A': 39, 'M_and_A_to_M_and_M': 73, 'A_and_U_to_A_and_A': 18, 'U_and_A_to_U_and_U': 15}"
312,"{'M_and_U_to_M_and_M': 24, 'U_and_M_to_U_and_U': 33, 'Polymerase_M_to_A': 19, 'M_and_A_to_M_and_M': 4, 'U_and_A_to_U_and_U': 35, 'A_and_M_to_A_and_A': 10, 'A_and_U_to_A_and_A': 10}"
313,"{'U_and_M_to_U_and_U': 28, 'M_and_U_to_M_and_M': 33, 'Polymerase_M_to_A': 58, 'M_and_A_to_M_and_M': 66, 'U_and_A_to_U_and_U': 9, 'A_and_M_to_A_and_A': 21, 'A_and_U_to_A_and_A': 19}"
314,"{'Polymerase_M_to_A': 56, 'M_and_U_to_M_and_M': 15, 'U_and_M_to_U_and_U': 11, 'M_and_A_to_M_and_M': 63, 'A_and_U_to_A_and_A': 13, 'A_and_M_to_A_and_A': 24, 'U_and_A_to_U_and_U': 3}"
315,"{'M_and_U_to_M_and_M': 40, 'U_and_M_to_U_and_U': 40, 'Polymerase_M_to_A': 27, 'A_and_U_to_A_and_A': 45, 'U_and_A_to_U_and_U': 55, 'A_and_M_to_A_and_A': 8, 'M_and_A_to_M_and_M': 13}"
316,"{'M_and_U_to_M_and_M': 12, 'Polymerase_M_to_A': 46, 'U_and_M_to_U_and_U': 3, 'A_and_M_to_A_and_A': 42, 'U_and_A_to_U_and_U': 2, 'M_and_A_to_M_and_M': 70, 'A_and_U_to_A_and_A': 8}"
317,"{'U_and_M_to_U_and_U': 38, 'M_and_U_to_M_and_M': 28, 'Polymerase_M_to_A': 23, 'M_and_A_to_M_and_M': 15, 'A_and_M_to_A_and_A': 13, 'A_and_U_to_A_and_A': 47, 'U_and_A_to_U_and_U': 60}"
318,"{'M_and_U_to_M_and_M': 20, 'U_and_M_to_U_and_U': 30, 'Polymerase_M_to_A': 27, 'M_and_A_to_M_and_M': 12, 'U_and_A_to_U_and_U': 60, 'A_and_M_to_A_and_A': 8, 'A_and_U_to_A_and_A': 45}"
319,"{'M_and_U_to_M_and_M': 30, 'Polymerase_M_to_A': 28, 'U_and_M_to_U_and_U': 31, 'A_and_M_to_A_and_A': 17, 'U_and_A_to_U_and_U': 30, 'A_and_U_to_A_and_A': 40, 'M_and_A_to_M_and_M': 34}"
320,"{'M_and_U_to_M_and_M': 26, 'U_and_M_to_U_and_U': 16, 'Polymerase_M_to_A': 59, 'M_and_A_to_M_and_M': 70, 'A_and_M_to_A_and_A': 25, 'U_and_A_to_U_and_U': 19, 'A_and_U_to_A_and_A': 22}"
321,"{'U_and_M_to_U_and_U': 31, 'M_and_U_to_M_and_M': 50, 'Polymerase_M_to_A': 50, 'A_and_M_to_A_and_A': 26, 'U_and_A_to_U_and_U': 41, 'M_and_A_to_M_and_M': 43, 'A_and_U_to_A_and_A': 25}"
322,"{'U_and_M_to_U_and_U': 19, 'M_and_U_to_M_and_M': 27, 'Polymerase_M_to_A': 47, 'M_and_A_to_M_and_M': 57, 'A_and_U_to_A_and_A': 16, 'U_and_A_to_U_and_U': 9, 'A_and_M_to_A_and_A': 26}"
323,"{'U_and_M_to_U_and_U': 33, 'M_and_U_to_M_and_M': 46, 'Polymerase_M_to_A': 49, 'M_and_A_to_M_and_M': 46, 'A_and_U_to_A_and_A': 26, 'A_and_M_to_A_and_A': 20, 'U_and_A_to_U_and_U': 31}"
324,"{'U_and_M_to_U_and_U': 26, 'M_and_U_to_M_and_M': 18, 'Polymerase_M_to_A': 25, 'A_and_U_to_A_and_A': 39, 'A_and_M_to_A_and_A': 16, 'M_and_A_to_M_and_M': 17, 'U_and_A_to_U_and_U': 54}"
325,"{'U_and_M_to_U_and_U': 27, 'Polymerase_M_to_A': 49, 'M_and_U_to_M_and_M': 29, 'A_and_U_to_A_and_A': 27, 'M_and_A_to_M_and_M': 54, 'A_and_M_to_A_and_A': 15, 'U_and_A_to_U_and_U': 15}"
326,"{'M_and_U_to_M_and_M': 40, 'U_and_M_to_U_and_U': 23, 'Polymerase_M_to_A': 55, 'M_and_A_to_M_and_M': 49, 'A_and_U_to_A_and_A': 17, 'A_and_M_to_A_and_A': 16, 'U_and_A_to_U_and_U': 20}"
327,"{'U_and_M_to_U_and_U': 13, 'M_and_U_to_M_and_M': 27, 'Polymerase_M_to_A': 43, 'M_and_A_to_M_and_M': 46, 'A_and_M_to_A_and_A': 25, 'U_and_A_to_U_and_U': 12, 'A_and_U_to_A_and_A': 12}"
328,"{'U_and_M_to_U_and_U': 17, 'M_and_U_to_M_and_M': 32, 'Polymerase_M_to_A': 52, 'A_and_U_to_A_and_A': 5, 'A_and_M_to_A_and_A': 34, 'M_and_A_to_M_and_M': 57, 'U_and_A_to_U_and_U': 6}"
329,"{'M_and_U_to_M_and_M': 32, 'U_and_M_to_U_and_U': 26, 'Polymerase_M_to_A': 35, 'A_and_U_to_A_and_A': 49, 'U_and_A_to_U_and_U': 70, 'M_and_A_to_M_and_M': 10, 'A_and_M_to_A_and_A': 7}"
330,"{'M_and_U_to_M_and_M': 40, 'U_and_M_to_U_and_U': 37, 'Polymerase_M_to_A': 29, 'A_and_M_to_A_and_A': 16, 'A_and_U_to_A_and_A': 36, 'M_and_A_to_M_and_M': 20, 'U_and_A_to_U_and_U': 57}"
331,"{'M_and_U_to_M_and_M': 27, 'U_and_M_to_U_and_U': 33, 'Polymerase_M_to_A': 31, 'A_and_U_to_A_and_A': 45, 'M_and_A_to_M_and_M': 15, 'U_and_A_to_U_and_U': 62, 'A_and_M_to_A_and_A': 9}"
332,"{'U_and_M_to_U_and_U': 25, 'M_and_U_to_M_and_M': 16, 'Polymerase_M_to_A': 21, 'A_and_U_to_A_and_A': 58, 'U_and_A_to_U_and_U': 63, 'M_and_A_to_M_and_M': 13, 'A_and_M_to_A_and_A': 17}"
333,"{'U_and_M_to_U_and_U': 28, 'M_and_U_to_M_and_M': 40, 'Polymerase_M_to_A': 42, 'M_and_A_to_M_and_M': 52, 'A_and_U_to_A_and_A': 27, 'U_and_A_to_U_and_U': 29, 'A_and_M_to_A_and_A': 20}"
334,"{'U_and_M_to_U_and_U': 23, 'M_and_U_to_M_and_M': 37, 'Polymerase_M_to_A': 45, 'A_and_M_to_A_and_A': 16, 'U_and_A_to_U_and_U': 30, 'M_and_A_to_M_and_M': 37, 'A_and_U_to_A_and_A': 24}"
335,"{'M_and_U_to_M_and_M': 49, 'U_and_M_to_U_and_U': 47, 'Polymerase_M_to_A': 46, 'U_and_A_to_U_and_U': 37, 'M_and_A_to_M_and_M': 42, 'A_and_U_to_A_and_A': 36, 'A_and_M_to_A_and_A': 13}"
336,"{'U_and_M_to_U_and_U': 26, 'M_and_U_to_M_and_M': 25, 'Polymerase_M_to_A': 49, 'M_and_A_to_M_and_M': 53, 'A_and_U_to_A_and_A': 29, 'A_and_M_to_A_and_A': 12, 'U_and_A_to_U_and_U': 22}"
337,"{'M_and_U_to_M_and_M': 57, 'Polymerase_M_to_A': 24, 'U_and_M_to_U_and_U': 49, 'A_and_M_to_A_and_A': 10, 'A_and_U_to_A_and_A': 24, 'M_and_A_to_M_and_M': 8, 'U_and_A_to_U_and_U': 47}"
338,"{'U_and_M_to_U_and_U': 44, 'M_and_U_to_M_and_M': 34, 'Polymerase_M_to_A': 17, 'A_and_U_to_A_and_A': 27, 'U_and_A_to_U_and_U': 37, 'A_and_M_to_A_and_A': 9, 'M_and_A_to_M_and_M': 7}"
339,"{'M_and_U_to_M_and_M': 33, 'U_and_M_to_U_and_U': 13, 'Polymerase_M_to_A': 51, 'U_and_A_to_U_and_U': 18, 'A_and_M_to_A_and_A': 30, 'A_and_U_to_A_and_A': 13, 'M_and_A_to_M_and_M': 56}"
340,"{'U_and_M_to_U_and_U': 20, 'Polymerase_M_to_A': 45, 'M_and_U_to_M_and_M': 23, 'A_and_M_to_A_and_A': 26, 'M_and_A_to_M_and_M': 61, 'A_and_U_to_A_and_A': 24, 'U_and_A_to_U_and_U': 12}"
341,"{'U_and_M_to_U_and_U': 45, 'M_and_U_to_M_and_M': 40, 'Polymerase_M_to_A': 32, 'M_and_A_to_M_and_M': 19, 'U_and_A_to_U_and_U': 53, 'A_and_M_to_A_and_A': 11, 'A_and_U_to_A_and_A': 34}"
342,"{'M_and_U_to_M_and_M': 19, 'U_and_M_to_U_and_U': 30, 'Polymerase_M_to_A': 31, 'A_and_U_to_A_and_A': 29, 'M_and_A_to_M_and_M': 26, 'A_and_M_to_A_and_A': 19, 'U_and_A_to_U_and_U': 42}"
343,"{'U_and_M_to_U_and_U': 32, 'M_and_U_to_M_and_M': 28, 'Polymerase_M_to_A': 34, 'A_and_M_to_A_and_A': 22, 'A_and_U_to_A_and_A': 34, 'U_and_A_to_U_and_U': 21, 'M_and_A_to_M_and_M': 44}"
344,"{'Polymerase_M_to_A': 38, 'M_and_U_to_M_and_M': 41, 'M_and_A_to_M_and_M': 34, 'U_and_M_to_U_and_U': 37, 'A_and_M_to_A_and_A': 21, 'A_and_U_to_A_and_A': 38, 'U_and_A_to_U_and_U': 45}"
345,"{'Polymerase_M_to_A': 57, 'U_and_M_to_U_and_U': 21, 'M_and_U_to_M_and_M': 38, 'U_and_A_to_U_and_U': 33, 'A_and_M_to_A_and_A': 24, 'M_and_A_to_M_and_M': 58, 'A_and_U_to_A_and_A': 21}"
346,"{'M_and_U_to_M_and_M': 31, 'U_and_M_to_U_and_U': 20, 'Polymerase_M_to_A': 53, 'A_and_M_to_A_and_A': 25, 'M_and_A_to_M_and_M': 59, 'U_and_A_to_U_and_U': 24, 'A_and_U_to_A_and_A': 25}"
347,"{'U_and_M_to_U_and_U': 31, 'M_and_U_to_M_and_M': 38, 'Polymerase_M_to_A': 40, 'A_and_U_to_A_and_A': 21, 'M_and_A_to_M_and_M': 45, 'A_and_M_to_A_and_A': 20, 'U_and_A_to_U_and_U': 13}"
348,"{'M_and_U_to_M_and_M': 54, 'Polymerase_M_to_A': 43, 'U_and_M_to_U_and_U': 35, 'A_and_M_to_A_and_A': 16, 'U_and_A_to_U_and_U': 43, 'M_and_A_to_M_and_M': 30, 'A_and_U_to_A_and_A': 31}"
349,"{'M_and_U_to_M_and_M': 47, 'U_and_M_to_U_and_U': 50, 'Polymerase_M_to_A': 29, 'A_and_U_to_A_and_A': 25, 'M_and_A_to_M_and_M': 12, 'A_and_M_to_A_and_A': 6, 'U_and_A_to_U_and_U': 40}"
350,"{'M_and_U_to_M_and_M': 47, 'U_and_M_to_U_and_U': 53, 'Polymerase_M_to_A': 26, 'A_and_M_to_A_and_A': 17, 'M_and_A_to_M_and_M': 30, 'A_and_U_to_A_and_A': 32, 'U_and_A_to_U_and_U': 22}"
351,"{'M_and_U_to_M_and_M': 36, 'U_and_M_to_U_and_U': 30, 'Polymerase_M_to_A': 53, 'M_and_A_to_M_and_M': 58, 'A_and_U_to_A_and_A': 26, 'A_and_M_to_A_and_A': 19, 'U_and_A_to_U_and_U': 22}"
352,"{'M_and_U_to_M_and_M': 39, 'U_and_M_to_U_and_U': 18, 'Polymerase_M_to_A': 52, 'A_and_U_to_A_and_A': 13, 'M_and_A_to_M_and_M': 45, 'U_and_A_to_U_and_U': 24, 'A_and_M_to_A_and_A': 21}"
