Time Steps,Polymerase Count,Active Histone Count,Acetylated Histone Count,Methylated Histone Count,Unmodified Histone Count,Noisy Changes Count,Enzyme Changes Count
12301,48,41,30,11,19,0,0
12401,43,49,36,13,11,0,0
12501,45,40,32,8,20,0,0
12601,45,46,35,11,14,0,0
12701,44,48,34,14,12,0,0
12801,45,44,32,12,16,0,0
12901,47,38,27,11,22,0,1
13001,45,41,29,12,19,0,0
13101,44,43,30,13,17,0,0
13201,46,45,31,14,15,0,1
13301,45,44,28,16,16,0,0
13401,42,44,27,17,16,0,1
13501,43,46,27,19,14,0,0
13601,45,45,29,16,15,1,0
13701,44,43,26,17,17,0,0
13801,44,45,28,17,15,0,0
13901,43,42,24,18,18,0,0
14001,44,47,26,21,13,0,0
14101,45,41,23,18,19,0,1
14201,44,44,28,16,16,0,0
14301,43,43,26,17,17,0,0
14401,45,44,28,16,16,0,0
14501,44,43,30,13,17,0,0
14601,43,43,30,13,17,0,0
14701,43,43,30,13,17,0,0
14801,45,36,24,12,24,0,0
14901,43,39,26,13,21,0,0
15001,45,40,27,13,20,0,0
15101,44,44,33,11,16,0,0
15201,45,41,33,8,19,0,0
15301,45,44,34,10,16,0,0
15401,41,47,39,8,13,0,0
15501,45,46,37,9,14,0,0
15601,43,47,42,5,13,0,0
15701,44,48,42,6,12,0,0
15801,45,47,42,5,13,0,1
15901,43,46,42,4,14,1,0
16001,45,48,45,3,12,0,0
16101,43,46,42,4,14,0,0
16201,43,41,38,3,19,0,0
16301,44,42,39,3,18,0,0
16401,44,47,40,7,13,0,1
16501,43,48,39,9,12,0,0
16601,42,43,35,8,17,0,0
16701,45,43,32,11,17,0,0
16801,46,36,30,6,24,0,0
16901,45,36,33,3,24,0,0
17001,42,39,35,4,21,0,1
17101,45,42,38,4,18,0,1
17201,43,41,38,3,19,0,0
17301,44,46,43,3,14,0,0
17401,44,44,41,3,16,0,1
17501,43,45,40,5,15,0,0
17601,45,43,39,4,17,0,0
17701,43,46,41,5,14,0,1
17801,43,47,43,4,13,0,0
17901,42,47,44,3,13,0,1
18001,41,47,44,3,13,0,0
18101,42,47,44,3,13,0,0
18201,45,45,42,3,15,0,0
18301,44,47,43,4,13,0,0
