Time Steps,Polymerase Count,Active Histone Count,Acetylated Histone Count,Methylated Histone Count,Unmodified Histone Count,Noisy Changes Count,Enzyme Changes Count
328001,0,38,15,23,22,0,0
329001,0,37,18,19,23,0,0
330001,0,25,3,22,35,0,0
331001,0,41,2,39,19,0,0
332001,0,26,10,16,34,0,0
333001,0,29,21,8,31,0,0
334001,0,30,20,10,30,0,0
335001,0,39,7,32,21,0,0
336001,0,37,16,21,23,0,1
337001,0,30,12,18,30,0,0
338001,0,36,13,23,24,0,0
339001,0,36,14,22,24,0,1
340001,0,36,24,12,24,0,0
341001,0,37,26,11,23,0,0
342001,0,35,17,18,25,0,1
343001,0,42,11,31,18,0,0
344001,0,43,6,37,17,0,0
345001,0,42,4,38,18,0,1
346001,0,39,2,37,21,0,0
347001,0,36,5,31,24,0,0
348001,0,34,21,13,26,0,1
349001,0,31,14,17,29,0,0
350001,0,32,20,12,28,0,0
351001,0,36,22,14,24,0,0
352001,0,37,19,18,23,0,0
353001,0,35,14,21,25,0,0
354001,0,34,24,10,26,0,0
355001,0,33,11,22,27,0,0
356001,0,38,6,32,22,0,0
357001,0,35,12,23,25,0,0
358001,0,42,11,31,18,0,0
359001,0,29,12,17,31,0,0
360001,0,34,12,22,26,1,0
361001,0,40,15,25,20,0,0
362001,0,35,12,23,25,0,0
363001,0,27,7,20,33,1,0
364001,0,43,35,8,17,0,0
365001,0,39,31,8,21,0,0
366001,0,33,19,14,27,0,0
367001,0,33,20,13,27,0,0
368001,0,40,9,31,20,0,0
369001,0,35,5,30,25,0,0
370001,0,34,8,26,26,0,1
371001,0,35,5,30,25,0,0
372001,0,43,4,39,17,1,0
373001,0,38,2,36,22,0,0
374001,0,41,8,33,19,0,1
375001,0,35,24,11,25,0,0
376001,0,35,17,18,25,0,0
377001,0,38,13,25,22,0,0
378001,0,33,18,15,27,0,0
379001,0,30,13,17,30,0,1
380001,0,41,34,7,19,0,0
381001,0,43,41,2,17,0,0
382001,0,31,24,7,29,1,0
383001,0,36,29,7,24,0,0
384001,0,33,24,9,27,0,0
385001,0,38,29,9,22,0,1
386001,0,35,20,15,25,0,0
387001,0,32,9,23,28,0,0
388001,0,38,10,28,22,0,1
389001,0,36,2,34,24,0,0
390001,0,39,10,29,21,0,0
391001,0,34,24,10,26,0,1
392001,0,31,23,8,29,0,0
393001,0,35,26,9,25,0,0
394001,0,41,26,15,19,0,1
395001,0,37,8,29,23,0,0
396001,0,26,12,14,34,0,1
397001,0,32,24,8,28,0,0
398001,0,38,31,7,22,0,0
399001,0,34,24,10,26,0,0
400001,0,32,24,8,28,0,0
401001,0,37,18,19,23,0,1
402001,0,39,8,31,21,0,0
403001,0,37,11,26,23,0,0
404001,0,34,14,20,26,0,0
405001,0,39,20,19,21,0,0
406001,0,34,19,15,26,1,0
407001,0,39,11,28,21,0,0
408001,0,42,29,13,18,0,0
409001,0,37,22,15,23,0,0
410001,0,42,34,8,18,1,0
411001,0,36,31,5,24,0,0
412001,0,38,30,8,22,0,0
413001,0,38,26,12,22,0,0
414001,0,39,27,12,21,0,1
415001,0,35,23,12,25,0,0
416001,0,36,16,20,24,0,0
417001,0,42,25,17,18,0,0
418001,0,34,11,23,26,0,0
419001,0,32,11,21,28,0,0
420001,0,30,8,22,30,0,1
421001,0,38,16,22,22,0,0
422001,0,35,24,11,25,0,0
423001,0,37,25,12,23,0,0
424001,0,36,23,13,24,0,0
425001,0,37,21,16,23,1,0
426001,0,36,7,29,24,0,0
427001,0,39,27,12,21,0,0
428001,0,39,34,5,21,0,0
429001,0,31,13,18,29,0,0
430001,0,40,19,21,20,0,0
431001,0,28,18,10,32,0,0
432001,0,38,22,16,22,0,0
433001,0,39,20,19,21,0,0
434001,0,42,7,35,18,0,0
435001,0,31,11,20,29,0,0
436001,0,35,21,14,25,0,0
437001,0,34,24,10,26,0,0
438001,0,32,25,7,28,0,0
439001,0,37,27,10,23,0,1
440001,0,43,31,12,17,0,0
441001,0,34,21,13,26,0,0
442001,0,37,21,16,23,0,0
443001,0,35,24,11,25,0,0
444001,0,36,32,4,24,0,0
445001,0,40,34,6,20,0,0
446001,0,41,37,4,19,0,0
447001,0,42,35,7,18,0,0
448001,0,33,11,22,27,0,0
449001,0,39,12,27,21,0,0
450001,0,34,4,30,26,0,0
451001,0,40,16,24,20,0,0
452001,0,37,14,23,23,0,0
453001,0,33,12,21,27,0,0
454001,0,35,11,24,25,1,0
455001,0,37,9,28,23,0,0
456001,0,36,15,21,24,0,0
457001,0,34,25,9,26,0,0
458001,0,31,18,13,29,0,0
459001,0,41,22,19,19,0,0
460001,0,44,6,38,16,0,0
461001,0,33,5,28,27,0,0
462001,0,41,4,37,19,0,1
463001,0,32,13,19,28,0,0
464001,0,38,19,19,22,0,0
465001,0,37,27,10,23,0,0
466001,0,38,36,2,22,0,0
467001,0,37,33,4,23,0,0
468001,0,40,31,9,20,0,0
469001,0,40,35,5,20,0,0
470001,0,38,30,8,22,0,0
471001,0,37,29,8,23,0,1
472001,0,43,41,2,17,0,0
473001,0,36,21,15,24,0,0
474001,0,31,15,16,29,0,0
475001,0,33,12,21,27,1,0
476001,0,34,12,22,26,0,1
477001,0,33,8,25,27,0,0
478001,0,31,13,18,29,0,0
479001,0,41,37,4,19,0,1
480001,0,40,38,2,20,0,0
481001,0,40,37,3,20,0,1
482001,0,43,37,6,17,0,0
483001,0,31,27,4,29,0,0
484001,0,35,28,7,25,0,1
485001,0,37,11,26,23,0,0
486001,0,36,10,26,24,0,0
487001,0,40,7,33,20,0,0
488001,0,45,4,41,15,0,0
489001,0,33,14,19,27,0,0
490001,0,37,15,22,23,0,0
491001,0,28,7,21,32,0,0
492001,0,40,15,25,20,0,0
493001,0,33,17,16,27,0,0
494001,0,37,25,12,23,0,1
495001,0,32,19,13,28,1,0
496001,0,39,34,5,21,0,0
497001,0,39,31,8,21,0,0
498001,0,38,13,25,22,0,0
499001,0,42,0,42,18,0,0
500001,0,33,7,26,27,0,0
501001,0,36,15,21,24,1,1
502001,0,33,24,9,27,0,0
503001,0,36,27,9,24,0,0
504001,0,47,43,4,13,0,0
505001,0,30,20,10,30,0,0
506001,0,32,28,4,28,0,0
507001,0,37,10,27,23,0,0
508001,0,38,14,24,22,0,0
509001,0,40,24,16,20,0,0
510001,0,30,13,17,30,0,0
511001,0,40,12,28,20,0,0
512001,0,43,6,37,17,0,0
513001,0,40,4,36,20,0,1
514001,0,34,10,24,26,0,1
515001,0,26,9,17,34,0,0
516001,0,37,13,24,23,0,1
517001,0,32,20,12,28,0,0
518001,0,39,25,14,21,0,0
519001,0,35,32,3,25,0,0
520001,0,38,22,16,22,0,1
521001,0,28,16,12,32,0,0
522001,0,30,12,18,30,0,0
523001,0,38,23,15,22,0,0
524001,0,37,19,18,23,0,0
525001,0,34,10,24,26,0,0
526001,0,34,6,28,26,0,0
527001,0,41,15,26,19,1,0
528001,0,37,20,17,23,0,0
529001,0,33,29,4,27,0,0
530001,0,37,30,7,23,0,1
531001,0,41,32,9,19,0,1
532001,0,31,5,26,29,0,0
533001,0,31,5,26,29,0,0
534001,0,42,29,13,18,0,1
535001,0,37,23,14,23,0,0
536001,0,31,8,23,29,0,0
537001,0,39,6,33,21,1,0
538001,0,34,11,23,26,1,0
539001,0,30,13,17,30,0,0
