Time Steps,Polymerase Count,Active Histone Count,Acetylated Histone Count,Methylated Histone Count,Unmodified Histone Count,Noisy Changes Count,Enzyme Changes Count
13901,0,51,44,7,9,0,0
14001,0,49,43,6,11,0,1
14101,0,50,44,6,10,0,0
14201,0,50,45,5,10,0,0
14301,0,50,45,5,10,0,1
14401,0,48,44,4,12,0,0
14501,0,48,43,5,12,0,0
14601,0,44,39,5,16,0,0
14701,0,47,41,6,13,0,1
14801,0,46,39,7,14,1,0
14901,0,43,36,7,17,0,0
15001,0,44,37,7,16,0,0
15101,0,45,39,6,15,0,0
15201,0,48,41,7,12,0,0
15301,0,44,35,9,16,0,0
15401,0,46,39,7,14,0,1
15501,0,46,42,4,14,0,0
15601,0,43,40,3,17,0,0
15701,0,49,44,5,11,0,0
15801,0,47,43,4,13,0,0
15901,0,40,35,5,20,0,0
